Warehouse,Item,Item Description,Inventory Status,Lot,On Hand Qty,Allocated Qty,In Transit Qty,Company,Aging Date
Brampton,LX1620WHT1114,Americanflat 16x20 Picture Frame with Polished Plexiglass - Use as 11x14 Frame with Mat or 16x20 Fra,Available,,132,0,0,AMFLAT,2025-04-02T16:45:14.86
Brampton,LX1620WHT1114,Americanflat 16x20 Picture Frame with Polished Plexiglass - Use as 11x14 Frame with Mat or 16x20 Fra,Available,,84,0,0,AMFLAT,2025-04-02T16:45:14.86
Brampton,LX1620WHT68,Americanflat 16x20 Picture Frame with Polished Plexiglass - Use as 6x8 Frame with Mat or 16x20 Frame,Available,,18,0,0,AMFLAT,2026-01-26T21:17:03.74
Brampton,LX1624BLK812,0,Available,,128,0,0,AMFLAT,2026-01-14T19:21:28.693
Brampton,LX1722BLKNOMAT,Unusual Sizes' in LX without mat - 17x22,Available,,36,0,0,AMFLAT,2026-01-14T19:20:19.21
Brampton,LX1722BLKNOMAT,Unusual Sizes' in LX without mat - 17x22,Available,,96,0,0,AMFLAT,2026-01-14T19:20:19.21
Brampton,LX1722BLKNOMAT,Unusual Sizes' in LX without mat - 17x22,Available,,12,0,0,AMFLAT,2026-01-14T19:20:19.21
Brampton,LX1818BLK88,0,Available,,8,8,0,AMFLAT,2026-01-26T22:34:47.323
Brampton,LX1818BLK88,0,Available,,144,0,0,AMFLAT,2026-01-26T22:34:47.323
Brampton,LX1824BLK108,0,Available,,6,0,0,AMFLAT,2026-01-16T15:28:32.823
Brampton,LX1824BLK810,Americanflat 18x24 Poster Frame with Polished Plexiglass - Use as 8x10 Frame with Mat or 18x24 Frame,Available,,108,0,0,AMFLAT,2026-01-16T15:34:10.773
Brampton,LX1824BLK810,Americanflat 18x24 Poster Frame with Polished Plexiglass - Use as 8x10 Frame with Mat or 18x24 Frame,Available,,24,0,0,AMFLAT,2026-01-16T15:34:10.773
Brampton,LX1824WHTNOMAT,Americanflat 18x24 Poster Frame with Polished Plexiglass - Streamline Collection - Thin Border Pictu,Available,,36,0,0,AMFLAT,2025-04-14T14:13:34.13
Brampton,LX1824WHTNOMAT,Americanflat 18x24 Poster Frame with Polished Plexiglass - Streamline Collection - Thin Border Pictu,Available,,60,0,0,AMFLAT,2025-04-14T14:13:34.13
Brampton,LX2024BLK,Americanflat 20x24 Poster Frame in Black - Thin Border Photo Frame with Polished Plexiglass - Horizo,Available,,12,12,0,AMFLAT,2025-04-16T20:27:14.43
Brampton,LX2024BLK,Americanflat 20x24 Poster Frame in Black - Thin Border Photo Frame with Polished Plexiglass - Horizo,Available,,24,0,0,AMFLAT,2025-04-16T20:27:14.43
Brampton,LX2024BLK,Americanflat 20x24 Poster Frame in Black - Thin Border Photo Frame with Polished Plexiglass - Horizo,Available,,96,0,0,AMFLAT,2025-04-16T20:27:14.43
Brampton,LX2024WHT1620,Americanflat 20x24 Picture Frame with Polished Plexiglass - Use as 16x20 Frame with Mat or 20x24 Fra,Available,,78,0,0,AMFLAT,2025-04-11T20:32:52.407
Brampton,LX2024WHT1620,Americanflat 20x24 Picture Frame with Polished Plexiglass - Use as 16x20 Frame with Mat or 20x24 Fra,Available,,90,0,0,AMFLAT,2025-04-11T20:32:52.407
Brampton,LX2026BLK1114,Americanflat 20x26 Picture Frame with Polished Plexiglass - Use as 11x14 Frame with Mat or 20x26 Fra,Available,,18,0,0,AMFLAT,2026-01-19T15:46:51.88
Brampton,LX2026BLK1114,Americanflat 20x26 Picture Frame with Polished Plexiglass - Use as 11x14 Frame with Mat or 20x26 Fra,Available,,96,0,0,AMFLAT,2026-01-19T15:46:51.88
Brampton,LX2026WHT1114,Americanflat 20x26 Picture Frame with Polished Plexiglass - Use as 11x14 Frame with Mat or 20x26 Fra,Available,,48,0,0,AMFLAT,2026-01-26T21:20:51.39
Brampton,LX2228BLK,Americanflat 22x28 Poster Frame in Black - Thin Border Photo Frame with Polished Plexiglass - Horizo,Available,,60,0,0,AMFLAT,2026-01-26T21:50:26.767
Brampton,LX2228BLK,Americanflat 22x28 Poster Frame in Black - Thin Border Photo Frame with Polished Plexiglass - Horizo,Available,,12,12,0,AMFLAT,2026-01-26T21:50:26.767
Brampton,LX2234BLKNOMAT,Unusual Sizes' in LX without mat - 22x34,Available,,4,4,0,AMFLAT,2026-01-27T16:34:12.58
Brampton,LX2234BLKNOMAT,Unusual Sizes' in LX without mat - 22x34,Available,,20,0,0,AMFLAT,2026-01-27T16:34:12.58
Brampton,LX2234BLKNOMAT,Unusual Sizes' in LX without mat - 22x34,Available,,48,0,0,AMFLAT,2026-01-27T16:34:12.58
Brampton,LX2430BLK912,0,Available,,3,0,0,AMFLAT,2026-01-14T19:19:24.03
Brampton,LX2434BLK2030,Americanflat 24x34 Poster Frame with Polished Plexiglass - Use as 20x30 Frame with Mat or 24x34 Fram,Available,,36,0,0,AMFLAT,2025-04-02T13:44:55.487
Brampton,LX2434BLK2030,Americanflat 24x34 Poster Frame with Polished Plexiglass - Use as 20x30 Frame with Mat or 24x34 Fram,Available,,32,0,0,AMFLAT,2025-04-02T13:44:55.487
Brampton,LX2434BLK2030,Americanflat 24x34 Poster Frame with Polished Plexiglass - Use as 20x30 Frame with Mat or 24x34 Fram,Available,,36,0,0,AMFLAT,2025-04-02T13:44:55.487
Brampton,LX2434BLK2030,Americanflat 24x34 Poster Frame with Polished Plexiglass - Use as 20x30 Frame with Mat or 24x34 Fram,Available,,36,0,0,AMFLAT,2025-04-02T13:44:55.487
Brampton,LX8511BLK,Americanflat 8.5x11 Thin Picture Frame in Black with Shatter Resistant Glass - Horizontal and Vertic,Available,,132,0,0,AMFLAT,2026-01-15T21:33:07.123
Brampton,LX8511BLK,Americanflat 8.5x11 Thin Picture Frame in Black with Shatter Resistant Glass - Horizontal and Vertic,Available,,36,0,0,AMFLAT,2026-01-15T21:33:07.123
Brampton,LX8511WHT,Americanflat 8.5x11 Picture Frame in White with Shatter Resistant Glass - Horizontal and Vertical Fo,Available,,12,0,0,AMFLAT,2026-01-15T21:45:43.533
Brampton,LX8511WHT,Americanflat 8.5x11 Picture Frame in White with Shatter Resistant Glass - Horizontal and Vertical Fo,Available,,168,0,0,AMFLAT,2026-01-15T21:45:43.533
Brampton,LX8514BLKNOMAT,LX without mat more sizes - 8.5x14,Available,,120,0,0,AMFLAT,2026-01-16T22:15:44.637
Brampton,MK-PD3-810-BK,Americanflat 4x6 Picture Frame in Black - Composite Wood with Shatter Resistant Glass,Available,,195,195,0,AMFLAT,2026-03-17T15:56:04.593
Brampton,MK-PD3-810-WH,Americanflat 4x6 Picture Frame in White - Composite Wood with Shatter Resistant Glass,Available,,90,0,0,AMFLAT,2026-03-17T15:56:41.937
Brampton,MW0816BK3,MW0816BK3,Available,,132,0,0,AMFLAT,2026-01-14T19:32:20.483
Brampton,MW0816BK357,"Americanflat 8x16 Collage Picture Frame, Three 5x7 Openings, Black",Held,,12,0,0,AMFLAT,2026-01-14T19:32:32.69
Brampton,MW0816BK357,"Americanflat 8x16 Collage Picture Frame, Three 5x7 Openings, Black",Available,,132,0,0,AMFLAT,2026-01-14T19:32:32.69
Brampton,MW0816BK357,"Americanflat 8x16 Collage Picture Frame, Three 5x7 Openings, Black",Available,,288,0,0,AMFLAT,2026-01-14T19:32:32.69
Brampton,MW0816BK357,"Americanflat 8x16 Collage Picture Frame, Three 5x7 Openings, Black",Available,,288,0,0,AMFLAT,2026-01-14T19:32:32.69
Brampton,MW0816BK357,"Americanflat 8x16 Collage Picture Frame, Three 5x7 Openings, Black",Available,,36,36,0,AMFLAT,2026-01-14T19:32:32.69
Brampton,MW0816BK357,"Americanflat 8x16 Collage Picture Frame, Three 5x7 Openings, Black",Available,,24,0,0,AMFLAT,2026-01-14T19:32:32.69
Brampton,MW0820BK446,"""Americanflat Black Collage Picture Frame Displays Four 4x6 inch Photos. Shatter-Resistant Glass. H""",Available,,180,0,0,AMFLAT,2026-03-17T15:57:18.647
Brampton,MW0820BK446,"""Americanflat Black Collage Picture Frame Displays Four 4x6 inch Photos. Shatter-Resistant Glass. H""",Available,,90,0,0,AMFLAT,2026-03-17T15:57:18.647
Brampton,MW0820BK446,"""Americanflat Black Collage Picture Frame Displays Four 4x6 inch Photos. Shatter-Resistant Glass. H""",Available,,10,10,0,AMFLAT,2026-03-17T15:57:18.647
Brampton,MW0824BK546,Americanflat 8x24 Collage Picture Frame with Five 4x6 Displays in Black - Composite Wood with Shatte,Available,,96,0,0,AMFLAT,2026-03-17T15:58:10.323
Brampton,MW0824BK546,Americanflat 8x24 Collage Picture Frame with Five 4x6 Displays in Black - Composite Wood with Shatte,Available,,240,0,0,AMFLAT,2026-03-17T15:58:10.323
Brampton,MW0824BK546,Americanflat 8x24 Collage Picture Frame with Five 4x6 Displays in Black - Composite Wood with Shatte,Available,,48,0,0,AMFLAT,2026-03-17T15:58:10.323
Brampton,MW0912WH68,MW0912WH68,Available,,60,0,0,AMFLAT,2026-03-17T15:59:22.423
Brampton,MW1111BK,MW1111BK,Available,,135,0,0,AMFLAT,2026-03-17T15:59:32.817
Brampton,MW1114WH57,MW1114WH57,Available,,204,0,0,AMFLAT,2026-01-14T19:34:50.27
Brampton,MW1117BK,MW1117BK,Available,,96,0,0,AMFLAT,2026-03-17T15:59:39.673
