defect,detail,title,size,category,upc,sku,price,in_stock,url,offer_id
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 5x7,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 5x7 with 4x6 Mat / Grey / 1 Pack,5x7,Picture Frame,00850001296847,,8.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207347036230
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 5x7,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 5x7 with 4x6 Mat / Mahogany / 1 Pack,5x7,Picture Frame,00850001296748,,8.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207345004614
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 5x7,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 5x7 with 4x6 Mat / Walnut / 1 Pack,5x7,Picture Frame,00850001296793,,8.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207344939078
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 5x7,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 5x7 with 4x6 Mat / White / 1 Pack,5x7,Picture Frame,00850001296595,,7.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207347003462
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 6x6 with 4x4 Mat / Black / 1 Pack,6x6,Picture Frame,00810029118514,,7.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207344775238
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 6x6 with 4x4 Mat / Black / 2 Pack,6x6,Picture Frame,00810029117593,,11.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207345725510
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 6x6 with 4x4 Mat / White / 1 Pack,6x6,Picture Frame,00198301000062,,4.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207346774086
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 6x8 with 3x5 Mat / Black / 1 Pack,6x8,Picture Frame,00810131995881,,5.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207345496134
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 6x8 with 3x5 Mat / White / 1 Pack,6x8,Picture Frame,00198301000109,,10.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207346675782
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 6x8 with 4x6 Mat / Black / 1 Pack,6x8,Picture Frame,00810029118507,,8.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207344808006
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8.5x11 | Streamline | Set of 2 6x8 with 4x6 Mat / Black / 2 Pack,6x8,Picture Frame,00810029117586,,12.99,yes,https://americanflat.com/products/streamline-matted-picture-frame,shopify_US_8432900997190_45207345594438
